[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_UNIQUE_NAME],[DMH_INCIDENT].[FechaHoraID].[FechaHoraID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DMH_INCIDENT].[FechaHoraID].&[2020011420],2020011420,527
[DMH_INCIDENT].[FechaHoraID].&[2020011421],2020011421,479
[DMH_INCIDENT].[FechaHoraID].&[2020011422],2020011422,461
[DMH_INCIDENT].[FechaHoraID].&[2020011423],2020011423,360
[DMH_INCIDENT].[FechaHoraID].&[2020011500],2020011500,269
[DMH_INCIDENT].[FechaHoraID].&[2020011501],2020011501,191
[DMH_INCIDENT].[FechaHoraID].&[2020011502],2020011502,147
[DMH_INCIDENT].[FechaHoraID].&[2020011503],2020011503,121
[DMH_INCIDENT].[FechaHoraID].&[2020011504],2020011504,101
[DMH_INCIDENT].[FechaHoraID].&[2020011505],2020011505,111
[DMH_INCIDENT].[FechaHoraID].&[2020011506],2020011506,226
[DMH_INCIDENT].[FechaHoraID].&[2020011507],2020011507,223
[DMH_INCIDENT].[FechaHoraID].&[2020011508],2020011508,324
[DMH_INCIDENT].[FechaHoraID].&[2020011509],2020011509,432
[DMH_INCIDENT].[FechaHoraID].&[2020011510],2020011510,435
[DMH_INCIDENT].[FechaHoraID].&[2020011511],2020011511,439
[DMH_INCIDENT].[FechaHoraID].&[2020011512],2020011512,451
[DMH_INCIDENT].[FechaHoraID].&[2020011513],2020011513,448
[DMH_INCIDENT].[FechaHoraID].&[2020011514],2020011514,492
[DMH_INCIDENT].[FechaHoraID].&[2020011515],2020011515,518
[DMH_INCIDENT].[FechaHoraID].&[2020011516],2020011516,465
[DMH_INCIDENT].[FechaHoraID].&[2020011517],2020011517,469
[DMH_INCIDENT].[FechaHoraID].&[2020011518],2020011518,502
[DMH_INCIDENT].[FechaHoraID].&[2020011519],2020011519,517
[DMH_INCIDENT].[FechaHoraID].&[2020011520],2020011520,551
[DMH_INCIDENT].[FechaHoraID].&[2020011521],2020011521,533
[DMH_INCIDENT].[FechaHoraID].&[2020011522],2020011522,519
[DMH_INCIDENT].[FechaHoraID].&[2020011523],2020011523,413
[DMH_INCIDENT].[FechaHoraID].&[2020011600],2020011600,315
[DMH_INCIDENT].[FechaHoraID].&[2020011601],2020011601,266
[DMH_INCIDENT].[FechaHoraID].&[2020011602],2020011602,195
[DMH_INCIDENT].[FechaHoraID].&[2020011603],2020011603,118
[DMH_INCIDENT].[FechaHoraID].&[2020011604],2020011604,115
[DMH_INCIDENT].[FechaHoraID].&[2020011605],2020011605,108
[DMH_INCIDENT].[FechaHoraID].&[2020011606],2020011606,245
[DMH_INCIDENT].[FechaHoraID].&[2020011607],2020011607,257
[DMH_INCIDENT].[FechaHoraID].&[2020011608],2020011608,323
