[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[COD_SUBCIR].[COD_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[COD_SUBCIR].&[06D04C10S01],06D04C10S01,2864
[DIVADM].[COD_SUBCIR].&[06D05C01S01],06D05C01S01,11083
[DIVADM].[COD_SUBCIR].&[06D05C01S02],06D05C01S02,2236
[DIVADM].[COD_SUBCIR].&[06D05C02S01],06D05C02S01,24778
[DIVADM].[COD_SUBCIR].&[06D05C02S02],06D05C02S02,407
[DIVADM].[COD_SUBCIR].&[06D05C03S01],06D05C03S01,1261
[DIVADM].[COD_SUBCIR].&[06D05C04S01],06D05C04S01,6142
[DIVADM].[COD_SUBCIR].&[07D01C01S01],07D01C01S01,1515
[DIVADM].[COD_SUBCIR].&[07D01C02S01],07D01C02S01,5601
[DIVADM].[COD_SUBCIR].&[07D01C03S01],07D01C03S01,15774
[DIVADM].[COD_SUBCIR].&[07D01C04S01],07D01C04S01,26024
[DIVADM].[COD_SUBCIR].&[07D01C05S01],07D01C05S01,7672
[DIVADM].[COD_SUBCIR].&[07D01C05S02],07D01C05S02,4307
[DIVADM].[COD_SUBCIR].&[07D01C06S01],07D01C06S01,8801
[DIVADM].[COD_SUBCIR].&[07D01C07S01],07D01C07S01,7585
[DIVADM].[COD_SUBCIR].&[07D01C07S02],07D01C07S02,9699
[DIVADM].[COD_SUBCIR].&[07D01C08S01],07D01C08S01,13662
[DIVADM].[COD_SUBCIR].&[07D01C08S02],07D01C08S02,9697
[DIVADM].[COD_SUBCIR].&[07D01C09S01],07D01C09S01,35591
[DIVADM].[COD_SUBCIR].&[07D01C10S01],07D01C10S01,29578
[DIVADM].[COD_SUBCIR].&[07D01C10S02],07D01C10S02,8248
[DIVADM].[COD_SUBCIR].&[07D01C11S01],07D01C11S01,871
[DIVADM].[COD_SUBCIR].&[07D01C12S01],07D01C12S01,474
[DIVADM].[COD_SUBCIR].&[07D01C13S01],07D01C13S01,3611
[DIVADM].[COD_SUBCIR].&[07D01C14S01],07D01C14S01,3726
[DIVADM].[COD_SUBCIR].&[07D01C15S01],07D01C15S01,448
[DIVADM].[COD_SUBCIR].&[07D02C01S01],07D02C01S01,14069
[DIVADM].[COD_SUBCIR].&[07D02C01S02],07D02C01S02,10430
[DIVADM].[COD_SUBCIR].&[07D02C02S01],07D02C02S01,23733
[DIVADM].[COD_SUBCIR].&[07D02C03S01],07D02C03S01,17187
[DIVADM].[COD_SUBCIR].&[07D02C03S02],07D02C03S02,6705
[DIVADM].[COD_SUBCIR].&[07D02C04S01],07D02C04S01,12308
[DIVADM].[COD_SUBCIR].&[07D02C04S02],07D02C04S02,12346
[DIVADM].[COD_SUBCIR].&[07D02C05S01],07D02C05S01,16742
[DIVADM].[COD_SUBCIR].&[07D02C06S01],07D02C06S01,25511
[DIVADM].[COD_SUBCIR].&[07D02C07S01],07D02C07S01,21195
[DIVADM].[COD_SUBCIR].&[07D02C08S01],07D02C08S01,15397
[DIVADM].[COD_SUBCIR].&[07D02C09S01],07D02C09S01,9058
[DIVADM].[COD_SUBCIR].&[07D02C09S02],07D02C09S02,12529
[DIVADM].[COD_SUBCIR].&[07D02C10S01],07D02C10S01,15544
[DIVADM].[COD_SUBCIR].&[07D02C11S01],07D02C11S01,49580
[DIVADM].[COD_SUBCIR].&[07D02C12S01],07D02C12S01,24518
[DIVADM].[COD_SUBCIR].&[07D02C13S01],07D02C13S01,38505
[DIVADM].[COD_SUBCIR].&[07D02C14S01],07D02C14S01,10131
[DIVADM].[COD_SUBCIR].&[07D02C14S02],07D02C14S02,11723
[DIVADM].[COD_SUBCIR].&[07D02C14S03],07D02C14S03,11122
[DIVADM].[COD_SUBCIR].&[07D02C15S01],07D02C15S01,45036
[DIVADM].[COD_SUBCIR].&[07D02C16S01],07D02C16S01,17487
[DIVADM].[COD_SUBCIR].&[07D02C16S02],07D02C16S02,25419
[DIVADM].[COD_SUBCIR].&[07D02C17S01],07D02C17S01,14357
[DIVADM].[COD_SUBCIR].&[07D02C17S02],07D02C17S02,6621
[DIVADM].[COD_SUBCIR].&[07D02C18S01],07D02C18S01,10178
[DIVADM].[COD_SUBCIR].&[07D02C19S01],07D02C19S01,13541
[DIVADM].[COD_SUBCIR].&[07D02C20S01],07D02C20S01,13387
[DIVADM].[COD_SUBCIR].&[07D02C21S01],07D02C21S01,7994
[DIVADM].[COD_SUBCIR].&[07D03C01S01],07D03C01S01,3611
[DIVADM].[COD_SUBCIR].&[07D03C01S02],07D03C01S02,1278
[DIVADM].[COD_SUBCIR].&[07D03C02S01],07D03C02S01,107
[DIVADM].[COD_SUBCIR].&[07D03C03S01],07D03C03S01,441
[DIVADM].[COD_SUBCIR].&[07D03C04S01],07D03C04S01,409
[DIVADM].[COD_SUBCIR].&[07D03C05S01],07D03C05S01,18245
[DIVADM].[COD_SUBCIR].&[07D03C06S01],07D03C06S01,476
[DIVADM].[COD_SUBCIR].&[07D03C07S01],07D03C07S01,1407
[DIVADM].[COD_SUBCIR].&[07D03C08S01],07D03C08S01,13915
