[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_UNIQUE_NAME],[DIVADM].[NAM_SUBCIR].[NAM_SUBCIR].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[NAM_SUBCIR].&[BUENA FE OESTE 1],BUENA FE OESTE 1,16357
[DIVADM].[NAM_SUBCIR].&[BUENA FE OESTE 2],BUENA FE OESTE 2,15770
[DIVADM].[NAM_SUBCIR].&[BUENA VISTA 1],BUENA VISTA 1,7585
[DIVADM].[NAM_SUBCIR].&[BUENA VISTA 2],BUENA VISTA 2,9699
[DIVADM].[NAM_SUBCIR].&[BUENAVISTA 1],BUENAVISTA 1,956
[DIVADM].[NAM_SUBCIR].&[BUENOS AIRES 1],BUENOS AIRES 1,478
[DIVADM].[NAM_SUBCIR].&[CABUYAL 1],CABUYAL 1,7239
[DIVADM].[NAM_SUBCIR].&[CAJABAMBA 1],CAJABAMBA 1,9598
[DIVADM].[NAM_SUBCIR].&[CALACALI 1],CALACALI 1,14347
[DIVADM].[NAM_SUBCIR].&[CALCETA CENTRO 1],CALCETA CENTRO 1,12601
[DIVADM].[NAM_SUBCIR].&[CALCETA SUR 1],CALCETA SUR 1,9216
[DIVADM].[NAM_SUBCIR].&[CALDERON 1],CALDERON 1,3018
[DIVADM].[NAM_SUBCIR].&[CALDERON 2],CALDERON 2,18918
[DIVADM].[NAM_SUBCIR].&[CALDERON 3],CALDERON 3,61727
[DIVADM].[NAM_SUBCIR].&[CALDERON 4],CALDERON 4,16853
[DIVADM].[NAM_SUBCIR].&[CALPI 1],CALPI 1,9860
[DIVADM].[NAM_SUBCIR].&[CALUMA 1],CALUMA 1,25210
[DIVADM].[NAM_SUBCIR].&[CALUMA 2],CALUMA 2,526
[DIVADM].[NAM_SUBCIR].&[CAMARONES 1],CAMARONES 1,9309
[DIVADM].[NAM_SUBCIR].&[CAMARONES 2],CAMARONES 2,2376
[DIVADM].[NAM_SUBCIR].&[CAMILO PONCE 1],CAMILO PONCE 1,17313
[DIVADM].[NAM_SUBCIR].&[CAMILO PONCE 2],CAMILO PONCE 2,8759
[DIVADM].[NAM_SUBCIR].&[CAMILO PONCE ENRIQUEZ 1],CAMILO PONCE ENRIQUEZ 1,18254
[DIVADM].[NAM_SUBCIR].&[CAMILO PONCE ENRIQUEZ 2],CAMILO PONCE ENRIQUEZ 2,572
[DIVADM].[NAM_SUBCIR].&[CAMINOS AL SOL 1],CAMINOS AL SOL 1,10146
[DIVADM].[NAM_SUBCIR].&[CAMPOZANO 1],CAMPOZANO 1,772
[DIVADM].[NAM_SUBCIR].&[CANCHAGUA 1],CANCHAGUA 1,987
[DIVADM].[NAM_SUBCIR].&[CANELOS 1],CANELOS 1,3682
[DIVADM].[NAM_SUBCIR].&[CANELOS 2],CANELOS 2,6961
