[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID].[OBJECTID].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID].&[2.5026E4],25026,5567
[DIVADM].[OBJECTID].&[2.5027E4],25027,9031
[DIVADM].[OBJECTID].&[2.5028E4],25028,6310
[DIVADM].[OBJECTID].&[2.5029E4],25029,10631
[DIVADM].[OBJECTID].&[2.503E4],25030,651
[DIVADM].[OBJECTID].&[2.5031E4],25031,2344
[DIVADM].[OBJECTID].&[2.5032E4],25032,839
[DIVADM].[OBJECTID].&[2.5033E4],25033,738
[DIVADM].[OBJECTID].&[2.5034E4],25034,2658
[DIVADM].[OBJECTID].&[2.5035E4],25035,168
[DIVADM].[OBJECTID].&[2.5036E4],25036,7169
[DIVADM].[OBJECTID].&[2.5037E4],25037,499
[DIVADM].[OBJECTID].&[2.5038E4],25038,1991
[DIVADM].[OBJECTID].&[2.5039E4],25039,993
[DIVADM].[OBJECTID].&[2.504E4],25040,860
[DIVADM].[OBJECTID].&[2.5041E4],25041,185
[DIVADM].[OBJECTID].&[2.5042E4],25042,440
[DIVADM].[OBJECTID].&[2.5043E4],25043,727
[DIVADM].[OBJECTID].&[2.5044E4],25044,4483
[DIVADM].[OBJECTID].&[2.5045E4],25045,827
[DIVADM].[OBJECTID].&[2.5046E4],25046,1846
[DIVADM].[OBJECTID].&[2.5047E4],25047,1266
[DIVADM].[OBJECTID].&[2.5048E4],25048,2635
[DIVADM].[OBJECTID].&[2.5049E4],25049,13321
[DIVADM].[OBJECTID].&[2.505E4],25050,5448
[DIVADM].[OBJECTID].&[2.5051E4],25051,3044
[DIVADM].[OBJECTID].&[2.5052E4],25052,1847
[DIVADM].[OBJECTID].&[2.5053E4],25053,387
[DIVADM].[OBJECTID].&[2.5054E4],25054,1363
[DIVADM].[OBJECTID].&[2.5055E4],25055,12601
[DIVADM].[OBJECTID].&[2.5056E4],25056,9216
[DIVADM].[OBJECTID].&[2.5057E4],25057,423
[DIVADM].[OBJECTID].&[2.5058E4],25058,1306
[DIVADM].[OBJECTID].&[2.5059E4],25059,337
[DIVADM].[OBJECTID].&[2.506E4],25060,4506
[DIVADM].[OBJECTID].&[2.5061E4],25061,3992
[DIVADM].[OBJECTID].&[2.5062E4],25062,7455
[DIVADM].[OBJECTID].&[2.5063E4],25063,7931
[DIVADM].[OBJECTID].&[2.5064E4],25064,10251
[DIVADM].[OBJECTID].&[2.5065E4],25065,32362
[DIVADM].[OBJECTID].&[2.5066E4],25066,9473
[DIVADM].[OBJECTID].&[2.5067E4],25067,304
[DIVADM].[OBJECTID].&[2.5068E4],25068,1597
[DIVADM].[OBJECTID].&[2.5069E4],25069,583
[DIVADM].[OBJECTID].&[2.507E4],25070,2028
[DIVADM].[OBJECTID].&[2.5071E4],25071,1790
[DIVADM].[OBJECTID].&[2.5072E4],25072,2244
[DIVADM].[OBJECTID].&[2.5073E4],25073,954
[DIVADM].[OBJECTID].&[2.5074E4],25074,5780
[DIVADM].[OBJECTID].&[2.5075E4],25075,1603
[DIVADM].[OBJECTID].&[2.5076E4],25076,834
[DIVADM].[OBJECTID].&[2.5077E4],25077,127
[DIVADM].[OBJECTID].&[2.5078E4],25078,977
[DIVADM].[OBJECTID].&[2.5079E4],25079,318
[DIVADM].[OBJECTID].&[2.508E4],25080,439
[DIVADM].[OBJECTID].&[2.5081E4],25081,4357
[DIVADM].[OBJECTID].&[2.5082E4],25082,1085
[DIVADM].[OBJECTID].&[2.5083E4],25083,410
[DIVADM].[OBJECTID].&[2.5084E4],25084,46
[DIVADM].[OBJECTID].&[2.5085E4],25085,6590
