[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVADM].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[OBJECTID_1].&[383],383,8068
[DIVADM].[OBJECTID_1].&[384],384,8823
[DIVADM].[OBJECTID_1].&[385],385,8145
[DIVADM].[OBJECTID_1].&[386],386,3784
[DIVADM].[OBJECTID_1].&[387],387,20650
[DIVADM].[OBJECTID_1].&[388],388,370
[DIVADM].[OBJECTID_1].&[389],389,3532
[DIVADM].[OBJECTID_1].&[390],390,5606
[DIVADM].[OBJECTID_1].&[391],391,482
[DIVADM].[OBJECTID_1].&[392],392,6126
[DIVADM].[OBJECTID_1].&[393],393,7608
[DIVADM].[OBJECTID_1].&[394],394,2970
[DIVADM].[OBJECTID_1].&[395],395,7550
[DIVADM].[OBJECTID_1].&[396],396,10152
[DIVADM].[OBJECTID_1].&[397],397,14848
[DIVADM].[OBJECTID_1].&[398],398,7360
[DIVADM].[OBJECTID_1].&[399],399,3952
[DIVADM].[OBJECTID_1].&[400],400,1669
[DIVADM].[OBJECTID_1].&[401],401,5582
[DIVADM].[OBJECTID_1].&[402],402,8231
[DIVADM].[OBJECTID_1].&[403],403,5244
[DIVADM].[OBJECTID_1].&[404],404,10461
[DIVADM].[OBJECTID_1].&[405],405,3566
[DIVADM].[OBJECTID_1].&[406],406,5567
[DIVADM].[OBJECTID_1].&[407],407,9031
[DIVADM].[OBJECTID_1].&[408],408,6310
[DIVADM].[OBJECTID_1].&[409],409,10631
[DIVADM].[OBJECTID_1].&[410],410,651
[DIVADM].[OBJECTID_1].&[411],411,2344
[DIVADM].[OBJECTID_1].&[412],412,839
[DIVADM].[OBJECTID_1].&[413],413,738
[DIVADM].[OBJECTID_1].&[414],414,2658
[DIVADM].[OBJECTID_1].&[415],415,168
[DIVADM].[OBJECTID_1].&[416],416,7169
[DIVADM].[OBJECTID_1].&[417],417,499
[DIVADM].[OBJECTID_1].&[418],418,1991
