[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_UNIQUE_NAME],[DIVPOL].[OBJECTID_1].[OBJECTID_1].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVPOL].[OBJECTID_1].&[490],490,19993
[DIVPOL].[OBJECTID_1].&[491],491,5850
[DIVPOL].[OBJECTID_1].&[492],492,239
[DIVPOL].[OBJECTID_1].&[493],493,2636
[DIVPOL].[OBJECTID_1].&[494],494,4633
[DIVPOL].[OBJECTID_1].&[495],495,5992
[DIVPOL].[OBJECTID_1].&[496],496,6146
[DIVPOL].[OBJECTID_1].&[497],497,7839
[DIVPOL].[OBJECTID_1].&[498],498,1323
[DIVPOL].[OBJECTID_1].&[499],499,8006
[DIVPOL].[OBJECTID_1].&[500],500,3958
[DIVPOL].[OBJECTID_1].&[501],501,29427
