[DIVADM].[AREAKM].[AREAKM].[MEMBER_UNIQUE_NAME],[DIVADM].[AREAKM].[AREAKM].[MEMBER_CAPTION],[Measures].[SumaIncidentes]
[DIVADM].[AREAKM].&[7.7246898E-1],"0,77246898",32587
[DIVADM].[AREAKM].&[7.7385002E-1],"0,77385002",11962
[DIVADM].[AREAKM].&[7.7399802E-1],"0,77399802",3926
[DIVADM].[AREAKM].&[7.7614403E-1],"0,77614403",9917
[DIVADM].[AREAKM].&[7.7647001E-1],"0,77647001",6765
[DIVADM].[AREAKM].&[7.7816099E-1],"0,77816099",15887
[DIVADM].[AREAKM].&[7.79266E-1],"0,779266",14113
[DIVADM].[AREAKM].&[7.8198802E-1],"0,78198802",13047
[DIVADM].[AREAKM].&[7.8311998E-1],"0,78311998",8833
[DIVADM].[AREAKM].&[7.8938103E-1],"0,78938103",15683
[DIVADM].[AREAKM].&[7.8960699E-1],"0,78960699",12933
[DIVADM].[AREAKM].&[8.0166E-1],"0,80166",566
[DIVADM].[AREAKM].&[8.0624098E-1],"0,80624098",13392
[DIVADM].[AREAKM].&[8.0668801E-1],"0,80668801",12977
[DIVADM].[AREAKM].&[8.0752301E-1],"0,80752301",59195
[DIVADM].[AREAKM].&[8.0783802E-1],"0,80783802",10152
[DIVADM].[AREAKM].&[8.0984598E-1],"0,80984598",18061
[DIVADM].[AREAKM].&[8.1004101E-1],"0,81004101",10857
[DIVADM].[AREAKM].&[8.1105101E-1],"0,81105101",15107
[DIVADM].[AREAKM].&[8.1160098E-1],"0,81160098",11723
[DIVADM].[AREAKM].&[8.1580102E-1],"0,81580102",17739
[DIVADM].[AREAKM].&[8.1622702E-1],"0,81622702",40136
[DIVADM].[AREAKM].&[8.1633902E-1],"0,81633902",5634
[DIVADM].[AREAKM].&[8.2123399E-1],"0,82123399",33388
[DIVADM].[AREAKM].&[8.2603401E-1],"0,82603401",16691
[DIVADM].[AREAKM].&[8.3328301E-1],"0,83328301",22720
[DIVADM].[AREAKM].&[8.3463401E-1],"0,83463401",14994
[DIVADM].[AREAKM].&[8.3524197E-1],"0,83524197",49580
[DIVADM].[AREAKM].&[8.3539999E-1],"0,83539999",6621
[DIVADM].[AREAKM].&[8.3573997E-1],"0,83573997",24609
[DIVADM].[AREAKM].&[8.3715302E-1],"0,83715302",15544
[DIVADM].[AREAKM].&[8.3757198E-1],"0,83757198",11935
[DIVADM].[AREAKM].&[8.3856702E-1],"0,83856702",26698
[DIVADM].[AREAKM].&[8.4123898E-1],"0,84123898",8511
[DIVADM].[AREAKM].&[8.4155703E-1],"0,84155703",11098
[DIVADM].[AREAKM].&[8.42013E-1],"0,842013",11475
[DIVADM].[AREAKM].&[8.44455E-1],"0,844455",12529
[DIVADM].[AREAKM].&[8.4536803E-1],"0,84536803",22937
[DIVADM].[AREAKM].&[8.4654099E-1],"0,84654099",7135
[DIVADM].[AREAKM].&[8.4858602E-1],"0,84858602",4454
[DIVADM].[AREAKM].&[8.53149E-1],"0,853149",16554
[DIVADM].[AREAKM].&[8.5514802E-1],"0,85514802",27423
[DIVADM].[AREAKM].&[8.5556602E-1],"0,85556602",22714
[DIVADM].[AREAKM].&[8.5579199E-1],"0,85579199",14332
[DIVADM].[AREAKM].&[8.5683101E-1],"0,85683101",11395
[DIVADM].[AREAKM].&[8.6163002E-1],"0,86163002",10732
[DIVADM].[AREAKM].&[8.6173201E-1],"0,86173201",12814
[DIVADM].[AREAKM].&[8.6184502E-1],"0,86184502",16005
[DIVADM].[AREAKM].&[8.6393499E-1],"0,86393499",20501
[DIVADM].[AREAKM].&[8.6615199E-1],"0,86615199",18243
[DIVADM].[AREAKM].&[8.6723E-1],"0,86723",25648
[DIVADM].[AREAKM].&[8.7061E-1],"0,87061",18905
[DIVADM].[AREAKM].&[8.71571E-1],"0,871571",32951
[DIVADM].[AREAKM].&[8.7638402E-1],"0,87638402",9012
[DIVADM].[AREAKM].&[8.7654501E-1],"0,87654501",14779
[DIVADM].[AREAKM].&[8.8276398E-1],"0,88276398",20464
[DIVADM].[AREAKM].&[8.8332802E-1],"0,88332802",23421
[DIVADM].[AREAKM].&[8.8820398E-1],"0,88820398",12488
[DIVADM].[AREAKM].&[8.9118999E-1],"0,89118999",24113
[DIVADM].[AREAKM].&[8.9308202E-1],"0,89308202",5032
[DIVADM].[AREAKM].&[8.9490002E-1],"0,89490002",49708
[DIVADM].[AREAKM].&[8.9991498E-1],"0,89991498",32216
[DIVADM].[AREAKM].&[9.0435201E-1],"0,90435201",25419
[DIVADM].[AREAKM].&[9.06066E-1],"0,906066",21106
[DIVADM].[AREAKM].&[9.1284698E-1],"0,91284698",12518
[DIVADM].[AREAKM].&[9.1466802E-1],"0,91466802",13412
[DIVADM].[AREAKM].&[9.1630799E-1],"0,91630799",16683
[DIVADM].[AREAKM].&[9.1656202E-1],"0,91656202",11568
[DIVADM].[AREAKM].&[9.1697598E-1],"0,91697598",24977
[DIVADM].[AREAKM].&[9.1827202E-1],"0,91827202",2797
[DIVADM].[AREAKM].&[9.1859299E-1],"0,91859299",20350
[DIVADM].[AREAKM].&[9.1941297E-1],"0,91941297",26560
[DIVADM].[AREAKM].&[9.2012203E-1],"0,92012203",16372
[DIVADM].[AREAKM].&[9.24191E-1],"0,924191",27018
[DIVADM].[AREAKM].&[9.2476499E-1],"0,92476499",19754
[DIVADM].[AREAKM].&[9.27463E-1],"0,927463",22097
[DIVADM].[AREAKM].&[9.3177497E-1],"0,93177497",11960
[DIVADM].[AREAKM].&[9.4074899E-1],"0,94074899",12962
[DIVADM].[AREAKM].&[9.4255799E-1],"0,94255799",29052
[DIVADM].[AREAKM].&[9.43299E-1],"0,943299",22769
[DIVADM].[AREAKM].&[9.4813102E-1],"0,94813102",3952
[DIVADM].[AREAKM].&[9.4983399E-1],"0,94983399",16944
[DIVADM].[AREAKM].&[9.4997197E-1],"0,94997197",31399
[DIVADM].[AREAKM].&[9.5267999E-1],"0,95267999",25540
[DIVADM].[AREAKM].&[9.5631403E-1],"0,95631403",26457
[DIVADM].[AREAKM].&[9.5921099E-1],"0,95921099",16928
